Date,RiskFree,AAPL,MSFT,AMZN,JPM,JNJ,XOM,PG,CAT,KO,WMT
31-Dec-2014,1.1283986940855e-08,0.249999992711659,8.47072711089949e-08,0.249999981508627,9.42228115385531e-08,0.249999195498417,2.50483563750614e-08,9.60964662032307e-08,0.249000415701871,5.21172296137836e-08,1.04956247685676e-06
31-Jan-2015,1.39907001241113e-08,0.249999995758081,1.218516524447e-07,0.249999991021,1.27680806861955e-07,0.249999841657481,4.06770812599752e-08,7.18728728031338e-08,0.220827552047367,2.14495555535846e-07,0.0290808048570141
28-Feb-2015,2.17334194116315e-07,0.249999938305473,3.06445241631188e-06,0.249999898957281,1.9430837960062e-06,0.24999230674915,4.83454448696939e-07,5.65057520815489e-07,0.216240890050476,0.00660326876883053,0.0271310570586865
31-Mar-2015,2.50382848572167e-07,0.249999839071181,9.90227288878228e-06,0.249999759433789,9.92120464036086e-06,0.24999911426236,1.26059191682315e-06,2.28072062678068e-06,0.214316699103325,0.00713350197195133,0.0285210991278476
30-Apr-2015,1.65354321078696e-07,0.249999817867359,0.232191619221174,0.249999833366032,1.54784780653134e-05,0.234745679541303,7.45869833549679e-07,8.21497377370069e-07,3.52527425652929e-06,0.00679286175514504,0.0257634399185067
31-May-2015,2.23865734162779e-07,0.249999816495269,0.249995805631971,0.249999792226799,0.00706101778380765,0.236087310539646,9.50911145557988e-07,5.93389700621687e-07,1.91578688981492e-06,0.00678090978791547,2.76135741669813e-06
30-Jun-2015,8.54690636233532e-08,0.249999801896399,0.249926383486895,0.249999840910457,0.144469299816702,0.105305438493329,5.22693895738606e-07,3.37632375837391e-07,6.08202792616133e-07,2.13641055415722e-06,6.25721068837407e-07
31-Jul-2015,2.2652681026199e-07,0.249999827074484,0.249996601398131,0.249999870117028,0.142035541706585,0.107887519598383,5.3776573576628e-07,4.16280171439373e-07,3.09966730087696e-07,1.41774282070445e-06,7.5730683965231e-07
31-Aug-2015,8.45519393576324e-08,0.249999889002363,0.24999785809691,0.249999927131363,0.141754101667569,0.10823932364628,1.67818798353695e-07,1.51743382662792e-07,1.5658733302239e-07,3.12849531423833e-07,2.16904862703389e-07
30-Sep-2015,6.66129226047622e-08,0.249999957451964,0.249999906770661,0.249999972806303,0.141454757513001,0.108527883148851,7.60334092451147e-08,8.30572023196503e-08,3.49366131959546e-08,1.6178925148076e-07,8.38433727065935e-08
31-Oct-2015,2.29157197886622e-08,0.249999961049461,0.249999941668647,0.249999981984494,0.14704381776381,0.10289950914342,5.09569819486625e-08,5.21062907093471e-08,2.95103032071846e-08,8.30945166787991e-08,3.73871069062807e-08
30-Nov-2015,1.35704666331115e-08,0.249999984456104,0.249999980860459,0.249999992953829,0.149173881959276,0.100806316208575,1.45420797826946e-08,1.80221331983146e-08,8.73885351505236e-09,2.43463949226415e-08,1.32080648040069e-08
31-Dec-2015,1.81843733952964e-08,0.249999930128689,0.24999995375215,0.249999987761195,0.145778334095904,0.104174717974196,2.13681209194782e-08,3.61266723283695e-08,1.23671131797411e-08,3.70118360930341e-08,2.96830411755958e-08
31-Jan-2016,3.07991540913099e-07,0.249994894072049,0.249998914069861,0.249999720515794,2.30461659741852e-06,0.249687221312643,2.91155376668529e-07,8.26188080618808e-07,2.03115802029772e-07,8.16917913692142e-07,6.41860543327545e-07
29-Feb-2016,3.52014149630523e-07,0.249997798658981,0.249974798464201,0.249999709402969,2.15246581930647e-07,0.24998997870115,1.3024160875304e-07,2.19969440951697e-07,1.00930026370538e-07,2.43426520644171e-07,2.23559492092497e-07
