Date,Wealth,GrowthReal,Turnover,Cost
31-Dec-2014,1.00969069577738,1.00969069577738,0.999001377202922,0.000999001377202922
31-Jan-2015,1.0688745426006,1.05861581875592,0.0912240903875777,9.21081152950916e-05
28-Feb-2015,1.04101359676877,0.973934316216344,0.0263667277274794,2.81827240395841e-05
31-Mar-2015,1.0932299633651,1.0501591590719,0.00637185662510436,6.63318938339481e-06
30-Apr-2015,1.10541749900445,1.01114819026899,0.486011856627053,0.0005313227242154
31-May-2015,1.07519357670955,0.972658364534551,0.0689022237048164,7.61657238036235e-05
30-Jun-2015,1.15073094690365,1.07025467025694,0.29491926646654,0.000317095300952715
31-Jul-2015,1.08390335777639,0.941925965137999,0.076974516281925,8.857695800855e-05
31-Aug-2015,1.07377342382619,0.990654209272884,0.00780999966723666,8.46528486355027e-06
30-Sep-2015,1.22567386331097,1.14146414514853,0.0170160364483944,1.82713677171436e-05
31-Oct-2015,1.26296672538353,1.03042641536944,0.056512419248239,6.92657952250384e-05
30-Nov-2015,1.23999452866301,0.981810924817875,0.0197511337645092,2.49450247331743e-05
31-Dec-2015,1.15904161342015,0.934715102872148,0.0469215467087132,5.81824611952103e-05
31-Jan-2016,1.12530873292418,0.970895884923041,0.313858183798321,0.000363774695734722
29-Feb-2016,1.21403702582965,1.0788479555072,0.0362293848792594,4.0769243193102e-05
31-Mar-2016,1.18668468822572,0.977469931293697,0.0255009651899421,3.09591159349829e-05
30-Apr-2016,1.2608486708277,1.06249678902731,0.0980911712255194,0.000116403290943451
31-May-2016,1.25744287490201,0.997298806744624,0.0234623215312785,2.95824369172447e-05
30-Jun-2016,1.34870826429745,1.07258014754949,0.0396866283039043,4.9903667989629e-05
31-Jul-2016,1.35430581309264,1.00415030362263,0.0244521918872553,3.29788732785283e-05
31-Aug-2016,1.40379459159426,1.03654180468192,0.0223513985292823,3.02706289589572e-05
30-Sep-2016,1.41554352547325,1.00836941098744,0.494728984468288,0.000694497872701504
31-Oct-2016,1.4504224578708,1.02463995756392,0.0342674930455264,4.85071279147946e-05
30-Nov-2016,1.50636766963051,1.03857166679688,0.0648280088615005,9.40279999517678e-05
31-Dec-2016,1.5712906857666,1.04309905041444,0.0226874643000846,3.41756627275439e-05
31-Jan-2017,1.66016563773036,1.05656175064793,0.0286468855654431,4.50125844652025e-05
28-Feb-2017,1.70014437721605,1.02408117514126,0.0432869015072059,7.18634264460816e-05
31-Mar-2017,1.73206364109478,1.01877444310406,0.201522778437712,0.000342617818641832
30-Apr-2017,1.77762163064713,1.02630272264335,0.0222128700489537,3.8474104576156e-05
31-May-2017,1.79902132444771,1.01203838512743,0.0402545873455768,7.15574251982713e-05
30-Jun-2017,1.84642215371135,1.02634811973571,0.0496784564266308,8.93726024771552e-05
31-Jul-2017,1.88404638636756,1.02037683125746,0.0138519117007066,2.55764766354381e-05
31-Aug-2017,1.87658130731861,0.996037741372526,0.0284264976347346,5.35568401458076e-05
30-Sep-2017,2.06744465351212,1.10170800777411,0.123365016210262,0.000231504483397234
31-Oct-2017,2.13550466283125,1.03291987004514,0.0285514166528942,5.90284737092229e-05
30-Nov-2017,2.15079865357701,1.00716176883711,0.0182294988506393,3.89291797966171e-05
31-Dec-2017,2.38057737466294,1.1068341384275,0.135207511644723,0.000290804133998969
31-Jan-2018,2.44001101023513,1.02496605916059,0.216497017858574,0.000515387902396121
28-Feb-2018,2.33280169853339,0.95606195576494,0.0295789129026133,7.21728731531624e-05
31-Mar-2018,2.38287769515537,1.02146603230504,0.00955081922195963,2.22801673033727e-05
30-Apr-2018,2.51437317662275,1.05518347909115,0.0313075201994733,7.46019915739511e-05
31-May-2018,2.51745349441168,1.00122508377737,0.0408700103026832,0.000102762457633362
30-Jun-2018,2.68013153505331,1.06462007779001,0.0209388949507235,5.27126942628181e-05
31-Jul-2018,2.94308991628819,1.09811398351001,0.0261574036070568,7.010528228239e-05
31-Aug-2018,2.93543950144485,0.997400550081395,0.0621237140138337,0.000182835676276485
30-Sep-2018,2.69627547110363,0.91852530763332,0.0104292426247572,3.06144107708646e-05
31-Oct-2018,2.65501896786992,0.984698706168615,0.0658030623702337,0.000177423182992363
30-Nov-2018,2.36666032246681,0.891391116638816,0.0842986325352307,0.000223814468346534
31-Dec-2018,2.54203824905801,1.07410354790941,0.0137836313333161,3.26211733760695e-05
31-Jan-2019,2.5956784188641,1.02110124417914,0.0326680469440792,8.3043424853872e-05
28-Feb-2019,2.72907754193486,1.05139277735689,0.0392124729417368,0.000101782969765159
31-Mar-2019,3.00241402737045,1.10015709749376,0.0387586810855102,0.000105775446105481
30-Apr-2019,2.74769484518493,0.915161873124938,0.0282203379044497,8.47291383814538e-05
31-May-2019,2.978118573578,1.08386074195862,0.0227118714617905,6.24052921400645e-05
30-Jun-2019,3.07065032793339,1.03107054070188,0.0215056617895738,6.40464108126166e-05
31-Jul-2019,2.99162833073821,0.974265387212497,0.0286986650890945,8.81235653670784e-05
31-Aug-2019,3.08876501941737,1.03246950420984,0.0256908993527896,7.68576223459491e-05
30-Sep-2019,3.27034255445659,1.05878645150982,0.0384148171758848,0.000118654343520187
31-Oct-2019,3.43813881233449,1.05130846542337,0.0297526288958167,9.7301288384944e-05
30-Nov-2019,3.63115622730201,1.05614008785075,0.0179753953600216,6.18019044543475e-05
31-Dec-2019,3.79096405221872,1.04401017607426,0.0210868539510614,7.65696610386045e-05
31-Jan-2020,3.46349727741408,0.913619129515885,0.0423570514518439,0.000160574059411919
29-Feb-2020,3.21585057714167,0.928498081437124,0.0354690349581557,0.000122846906010077
31-Mar-2020,3.71803872228862,1.15616028577836,0.0824274420358041,0.000265074337043152
30-Apr-2020,3.82652283015613,1.02917777784755,0.0487300588123413,0.000181180245603687
31-May-2020,4.17591941398776,1.09130915960519,0.219733933552989,0.000840816913300524
30-Jun-2020,4.58923813295226,1.09897669901867,0.220497779865626,0.00092078095968207
31-Jul-2020,5.146825709052,1.12149894164264,0.0519977673268784,0.000238630136644889
31-Aug-2020,4.83278452974802,0.938983521677902,0.0423884439861355,0.000218165933274553
30-Sep-2020,4.68451065853444,0.969319163662091,0.0984266971177087,0.000475675019144656
31-Oct-2020,5.03723861969436,1.07529665035927,0.021250612743517,9.95487218973934e-05
30-Nov-2020,5.23397381933826,1.0390561604278,0.0219265340276753,0.000110449184000249
31-Dec-2020,5.27346428616259,1.00754502567025,0.367137233154466,0.00192158666643476
31-Jan-2021,5.3653519793401,1.01742454071769,0.0180139571119095,9.49959594821193e-05
28-Feb-2021,5.4941517731015,1.02400584234871,0.0802891875565408,0.000430779751376095
31-Mar-2021,5.84387342009051,1.06365343758816,0.0243867985642623,0.000133984772572111
30-Apr-2021,5.73885003902578,0.982028464082798,0.0354651320581313,0.000207253742574513
31-May-2021,5.95980735288973,1.0385020191086,0.043359217018642,0.000248832044279561
30-Jun-2021,6.01766620017642,1.00970817408362,0.0653501613991447,0.000389474372419153
31-Jul-2021,6.26867131439646,1.0417113721284,0.0481479255189132,0.000289738144003776
31-Aug-2021,5.83403376885477,0.93066512443498,0.010581396999636,6.63312998378589e-05
30-Sep-2021,6.29698121095294,1.07935289037401,0.239520007227724,0.00139736781048288
31-Oct-2021,6.43133448850752,1.02133614077185,0.0449180681584022,0.000282848231225763
30-Nov-2021,6.56105886167246,1.02017067739157,0.0500625281091221,0.000321968863610074
31-Dec-2021,6.2081924492933,0.94621806939723,0.23361308012621,0.00153274916956467
31-Jan-2022,6.00005825563842,0.966474268419534,0.0373965216157361,0.000232164803124647
28-Feb-2022,6.50779568114994,1.08462208263301,0.0311460474086079,0.000186878098884523
31-Mar-2022,5.71826478142641,0.878679212070158,0.0475833476106751,0.000309662704075408
30-Apr-2022,5.60336043016601,0.979905730907456,0.0661727025005426,0.00037839303420066
31-May-2022,5.00782629853502,0.893718396477782,0.0241127361756146,0.000135112351749472
30-Jun-2022,5.83201699648067,1.16458052831959,0.0423773643474109,0.000212218479641564
31-Jul-2022,5.50652445018492,0.944188683521985,0.05579343944193,0.000325388287117451
31-Aug-2022,4.88976474607521,0.887994739751133,0.0130251416326062,7.17232608670677e-05
30-Sep-2022,5.03445281603348,1.02958998591382,0.441156534762893,0.0021571516711843
31-Oct-2022,5.13996507627726,1.0209580393539,0.164610251730949,0.000828722545374858
30-Nov-2022,4.82923053010215,0.939545397378426,0.425690415139438,0.00218803386712268
31-Dec-2022,5.04745701745122,1.0451886663908,0.369401101001498,0.00178392307480978
31-Jan-2023,4.97648824277507,0.985939697073046,0.0312577172653961,0.000157771984360729
28-Feb-2023,5.33433574524225,1.07190763546698,0.0939423872368084,0.0004675031855822
31-Mar-2023,5.57863814610987,1.04579809230897,0.194808211337443,0.00103917240520403
30-Apr-2023,5.43928708965317,0.975020595921985,0.192346838965623,0.00107303341313728
31-May-2023,5.77647657506803,1.0619914852548,0.0953960477098622,0.000518886490712191
30-Jun-2023,5.9100156301419,1.02311773506539,0.349139594702716,0.00201679669022899
31-Jul-2023,5.88027483849796,0.994967730458739,0.0694749720728033,0.00041059817085394
31-Aug-2023,5.5734731676287,0.947825283801254,0.0979071378813793,0.000575720879393225
30-Sep-2023,5.4816292242695,0.98352123701023,0.0205095108765588,0.00011430920855169
31-Oct-2023,5.98644755167009,1.09209275322117,0.0770147659655327,0.00042216639181694
30-Nov-2023,6.19755058935703,1.03526349072048,0.0318346076015927,0.000190576208734933
31-Dec-2023,6.28835719755731,1.0146520156457,0.49658966576999,0.00307763957576142
31-Jan-2024,6.62225104228982,1.05309714989826,0.0280917212487268,0.000176650777506205
29-Feb-2024,6.81376301834615,1.02891946784157,0.118608713803356,0.000785456678608932
31-Mar-2024,6.51159400097988,0.955653136665794,0.0795721580951427,0.000542185828118676
30-Apr-2024,6.86527215013246,1.05431514143839,0.0773105700655276,0.000503415044251024
31-May-2024,7.16885137184894,1.04421954659301,0.0842428645885851,0.000578350192107394
30-Jun-2024,7.24699944188035,1.01090105875793,0.040077550723389,0.000287310004483713
31-Jul-2024,7.33712776654397,1.0124366402104,0.0376537156187697,0.000272876456073945
31-Aug-2024,7.61109168147852,1.0373393954217,0.0537394849481452,0.000394293467172808
30-Sep-2024,7.38378823033659,0.97013523674993,0.0293919060910113,0.000223704491952094
31-Oct-2024,7.78741493907863,1.05466390640562,0.0361891273315157,0.000267212852456598
30-Nov-2024,7.5839604629972,0.973873939211784,0.0118269907145554,9.21016841748733e-05
31-Dec-2024,7.56482199414446,0.997476454558786,0.122969855294423,0.000932598520693391
31-Jan-2025,7.36390310256462,0.973440367567755,0.161518697338618,0.00122186019409274
28-Feb-2025,7.04384893196383,0.956537427754947,0.580437115053187,0.00427428267238382
31-Mar-2025,6.67117636048848,0.947092480961052,0.519401353950623,0.00365858467228567
30-Apr-2025,6.8850174379126,1.03205447823125,0.0336442240589877,0.000224446552209297
31-May-2025,7.38805246939184,1.0730622741359,0.0679241863152734,0.000467659207236682
30-Jun-2025,7.77547930482625,1.05243964319954,0.0316698532967272,0.000233978537854163
31-Jul-2025,7.69520541254791,0.989676020071391,0.466411431845669,0.00362657243585038
31-Aug-2025,8.07130404794089,1.04887441143283,0.0360496461405483,0.000277409432101184
30-Sep-2025,8.51011962586472,1.05436737054104,0.0427731155029841,0.000345234820302279
31-Oct-2025,8.48391858093514,0.996921189585873,0.0753809125773543,0.000641500583540136
30-Nov-2025,8.63317075726887,1.01759236311734,0.0177759758154155,0.000150809931514658
