Date,AAPL,MSFT,AMZN,JPM,JNJ,XOM,PG,CAT,KO,WMT
2010-01-31,5.744443893432617,20.966567993164062,6.270500183105469,25.58350944519043,38.84999084472656,34.82600784301758,38.11668014526367,35.08099365234375,16.363693237304688,12.718753814697266
2010-02-28,6.120109081268311,21.430885314941406,5.920000076293945,27.574216842651367,39.23442459106445,35.36330795288086,39.188018798828125,38.31106948852539,15.902185440063477,12.871099472045898
2010-03-31,7.028761386871338,21.894332885742188,6.78849983215332,29.400680541992188,40.60451889038086,36.4405403137207,39.18183898925781,42.20597076416016,16.72569465637207,13.309910774230955
2010-04-30,7.809103965759277,22.82871437072754,6.855000019073486,28.00628471374512,40.04402923583984,36.87031936645508,38.79070281982422,46.01002502441406,16.25432777404785,12.840712547302246
2010-05-31,7.683185577392578,19.372577667236328,6.2729997634887695,26.0330867767334,36.6390380859375,33.11669921875,38.12297821044922,41.05698776245117,15.630924224853516,12.173717498779297
2010-06-30,7.523168563842773,17.27764129638672,5.4629998207092285,24.07961654663086,37.116676330566406,31.259843826293945,37.43028259277344,40.59074783325195,15.370611190795898,11.574179649353027
2010-07-31,7.69425630569458,19.38008689880371,5.894499778747559,26.52972984313965,36.50706481933594,32.689453125,38.4653549194336,47.44562530517578,16.900922775268555,12.32540512084961
2010-08-31,7.271032810211182,17.71704864501953,6.241499900817871,23.9478816986084,36.17257308959961,32.608924865722656,37.52825164794922,44.32339859008789,17.137073516845703,12.143051147460938
2010-09-30,8.486858367919922,18.487030029296875,7.853000164031982,25.06756591796875,39.30642318725586,34.08738708496094,37.71692657470703,53.5200309753418,18.0826473236084,12.961621284484863
2010-10-31,9.002202033996582,20.13267135620117,8.261500358581543,24.816320419311523,40.435638427734375,36.680213928222656,40.28843688964844,53.760101318359375,18.947853088378903,13.119047164916992
2010-11-30,9.30638313293457,19.18545150756836,8.770000457763672,24.66463851928711,39.3823356628418,38.61544799804688,38.70403289794922,57.86390686035156,19.65439796447754,13.09967041015625
2010-12-31,9.647650718688965,21.19817352294922,9.0,27.975238800048828,39.57428359985352,40.59173583984375,40.77009582519531,64.06068420410156,20.46333694458008,13.133153915405272
2011-01-31,10.148938179016112,21.061447143554688,8.482000350952148,29.671186447143555,38.243438720703125,44.78858184814453,40.30618667602539,66.66403198242188,19.55483055114746,13.654290199279783
2011-02-28,10.564377784729004,20.307323455810547,8.66450023651123,30.82659149169922,39.6674919128418,47.731231689453125,40.25508880615234,70.73216247558594,19.88774681091309,12.658285140991213
2011-03-31,10.423803329467772,19.39815902709961,9.006500244140625,30.43705368041992,38.25355529785156,46.949951171875,39.329345703125,76.5182876586914,20.79035377502441,12.764172554016112
2011-04-30,10.47225856781006,19.80308532714844,9.790499687194824,30.29013442993164,42.4307746887207,49.09850311279297,41.77989959716797,79.6385269165039,21.141355514526367,13.48269748687744
2011-05-31,10.403467178344728,19.233089447021484,9.834500312805176,28.703590393066406,43.82120513916016,46.845829010009766,43.13178253173828,73.00718688964844,20.937641143798828,13.631145477294922
2011-06-30,10.039766311645508,19.994409561157227,10.224499702453612,27.17680931091309,43.31977081298828,45.6728401184082,40.92371368408203,73.46257019042969,21.240747451782227,13.11769676208496
2011-07-31,11.679110527038574,21.071025848388672,11.12600040435791,27.016515731811523,42.19314956665039,44.7805061340332,39.90898132324219,68.4578857421875,21.468017578125,13.011552810668944
2011-08-31,11.510126113891602,20.58492851257324,10.761500358581545,25.086280822753903,43.23264694213867,41.81654357910156,41.33034896850586,63.059715270996094,22.23823356628418,13.22502326965332
2011-09-30,11.405142784118652,19.261613845825195,10.81149959564209,20.11711311340332,41.846317291259766,41.03127670288086,41.005836486816406,51.16843032836914,21.47142601013184,12.904282569885254
2011-10-31,12.106819152832031,20.608142852783203,10.67549991607666,23.4205379486084,42.30620956420898,44.11581802368164,41.870155334472656,65.8196792602539,21.712963104248047,14.10271453857422
2011-11-30,11.4314603805542,19.94464492797852,9.614500045776367,20.86690902709961,42.91767501831055,45.71418380737305,42.24966049194336,68.20275115966797,21.52176284790039,14.644744873046877
2011-12-31,12.11340045928955,20.24092483520508,8.654999732971191,22.403125762939453,43.487979888916016,48.16926574707031,43.64990615844727,63.130027770996094,22.398900985717773,14.951416015625
2012-01-31,13.65314769744873,23.024450302124023,9.722000122070312,25.312841415405277,43.70680618286133,47.58959197998047,41.57797622680664,76.37464904785156,21.6177978515625,15.351716995239258
2012-02-29,16.224180221557617,24.91050148010254,8.98449993133545,26.62938690185547,43.53761291503906,49.42717361450195,44.598724365234375,79.93720245361328,22.36369514465332,14.781279563903809
2012-03-31,17.932323455810547,25.3186092376709,10.125499725341797,31.203340530395508,44.12632369995117,49.55859375,44.32829666137695,74.55484771728516,23.865699768066406,15.414173126220703
2012-04-30,17.46662712097168,25.13025665283203,11.595000267028809,29.358383178710938,43.55099105834961,49.33573913574219,42.32876586914063,72.23441314697266,24.610593795776367,14.837403297424316
2012-05-31,17.279691696166992,23.059505462646484,10.645500183105469,22.6438045501709,42.171382904052734,45.23968124389648,41.43084335327149,61.58590698242188,24.097875595092773,16.69028663635254
2012-06-30,17.46722412109375,24.16548156738281,11.417499542236328,24.40611267089844,45.63669204711914,49.23260116577149,40.73910903930664,59.68108367919922,25.385766983032227,17.67922592163086
2012-07-31,18.26760673522949,23.280704498291016,11.664999961853027,24.795581817626957,46.75800704956055,49.96903991699219,43.299747467041016,59.56723403930664,26.2331485748291,18.87356948852539
2012-08-31,19.982511520385746,24.508464813232425,12.41349983215332,25.580772399902344,45.9627571105957,50.55436706542969,45.07764053344727,60.35948944091797,24.28514862060547,18.509090423583984
2012-09-30,20.03837776184082,23.6655330657959,12.715999603271484,27.88123893737793,46.97159194946289,52.95757675170898,46.533470153808594,60.86173248291016,24.796707153320312,18.815025329589844
2012-10-31,17.882251739501953,22.695375442504883,11.64449977874756,28.9197940826416,48.27352142333984,52.79544448852539,46.83444213867188,60.35391616821289,24.30638694763184,19.12605857849121
2012-11-30,17.660961151123047,21.342514038085938,12.602499961853027,28.50348472595215,47.95085906982422,51.360347747802734,47.233516693115234,60.6599235534668,24.96025657653809,18.36122703552246
2012-12-31,16.05835723876953,21.414669036865234,12.543499946594238,30.50872230529785,48.20528030395508,50.433860778808594,45.921295166015625,64.13713836669922,23.861011505126957,17.49150848388672
2013-01-31,13.74452018737793,22.007970809936523,13.274999618530272,32.87004470825195,50.83219146728516,52.42675018310547,51.25094985961914,70.42131042480469,24.51267433166504,17.932443618774414
2013-02-28,13.396978378295898,22.47311019897461,13.213500022888184,34.17647171020508,52.75682067871094,52.51537704467773,51.94646072387695,66.1125717163086,25.486854553222656,18.145225524902344
2013-03-31,13.435220718383787,23.12790870666504,13.32450008392334,33.15647506713867,56.51375579833984,52.84376525878906,52.54652404785156,62.247589111328125,26.811702728271484,19.3072509765625
2013-04-30,13.43886375427246,26.757553100585938,12.690500259399414,34.45341110229492,59.07847595214844,52.18695068359375,52.733375549316406,60.99068832397461,28.064769744873047,20.05291557312012
2013-05-31,13.740152359008787,28.410480499267575,13.460000038146973,38.37610626220703,58.78929901123047,53.4218864440918,52.726524353027344,61.804664611816406,26.513355255126957,19.425649642944336
2013-06-30,12.114788055419922,28.11741828918457,13.884499549865724,37.110721588134766,59.96256637573242,53.351051330566406,52.88452911376953,59.42036056518555,26.77671241760254,19.33480262756348
2013-07-31,13.825697898864746,25.91947555541992,15.060999870300291,39.46319580078125,65.29813385009766,55.358734130859375,55.57132339477539,60.13922882080078,26.756689071655277,20.23029518127441
2013-08-31,14.983835220336914,27.381000518798828,14.048999786376951,35.7809944152832,60.80131149291992,51.8231086730957,53.90351104736328,59.87085723876953,25.48828125,19.057886123657227
2013-09-30,14.661843299865724,27.282615661621094,15.631999969482422,36.60240936279297,60.99834060668945,51.15717697143555,52.311805725097656,60.49467086791992,25.4719181060791,19.313804626464844
2013-10-31,16.074968338012695,29.028772354125977,18.201499938964844,36.765079498291016,65.16386413574219,53.28575134277344,56.31966018676758,60.88912582397461,26.60832977294922,20.042383193969727
2013-11-30,17.201074600219727,31.49566650390625,19.68099975585937,40.81680679321289,67.0713119506836,55.95900344848633,58.73982238769531,61.79483795166016,27.21456718444824,21.154834747314453
2013-12-31,17.35419464111328,30.90094757080078,19.93950080871582,41.715599060058594,64.89608764648438,60.58036422729492,56.77995681762695,66.33086395263672,27.972976684570312,20.668611526489254
2014-01-31,15.485199928283691,31.256126403808597,17.934499740600586,39.74827194213867,62.68540191650391,55.16881942749024,53.84342193603516,69.04350280761719,25.609731674194336,19.61534881591797
2014-02-28,16.375774383544922,31.88164710998535,18.104999542236328,40.79655838012695,65.74127960205078,58.03730392456055,55.27699661254883,71.2932357788086,25.867048263549805,19.620603561401367
2014-03-31,16.7025146484375,34.111934661865234,16.818500518798828,43.58955383300781,70.1016845703125,58.88733673095703,56.64029693603516,73.0577392578125,26.38595199584961,20.204513549804688
2014-04-30,18.36268615722656,33.62092971801758,15.206500053405762,40.4467658996582,72.28541564941406,61.7388801574707,58.47410583496094,77.94734954833984,27.83970069885254,21.071605682373047
2014-05-31,19.80799865722656,34.310699462890625,15.6274995803833,40.15053939819336,72.911376953125,61.0169563293457,57.22740936279297,75.60298156738281,27.921606063842773,20.4200439453125
2014-06-30,20.355926513671875,34.94761276245117,16.23900032043457,41.6317024230957,75.1822509765625,61.108009338378906,55.669044494628906,80.3656234741211,29.12867927551269,19.96785545349121
2014-07-31,20.94078254699707,36.171199798583984,15.649499893188477,41.959102630615234,71.9268569946289,60.051902770996094,55.20696258544922,74.97962951660156,27.01760482788086,19.5715389251709
2014-08-31,22.563873291015625,38.31144332885742,16.95199966430664,43.254188537597656,75.04686737060547,60.78803253173828,59.34105682373047,81.17150115966797,28.688587188720703,20.214542388916016
2014-09-30,22.17862892150879,39.09572219848633,16.121999740600586,43.8289794921875,77.11602020263672,57.4815673828125,59.7908821105957,73.69955444335938,29.54869079589844,20.47424697875977
2014-10-31,23.77461624145508,39.59325408935547,15.27299976348877,44.300048828125,77.97698974609375,59.10729217529297,62.78923797607422,76.04573059082031,29.0084171295166,20.420700073242188
2014-11-30,26.29422378540039,40.57280349731445,16.93199920654297,44.06567001342773,78.82705688476562,55.73585891723633,65.06282043457031,75.43831634521484,31.26637840270996,23.438156127929688
2014-12-31,24.403902053833008,39.41867065429688,15.517499923706056,45.8382568359375,76.14732360839844,56.91162872314453,65.53766632080078,68.63687896728516,29.4460506439209,23.122167587280277
2015-01-31,25.902894973754883,34.28448486328125,17.726499557495117,40.08820724487305,72.92141723632812,53.81520080566406,61.076507568359375,60.4599494934082,28.713735580444336,22.87985038757324
2015-02-28,28.5132999420166,37.47707748413086,19.007999420166016,45.17478561401367,75.16978454589844,54.91489791870117,61.685176849365234,62.67510986328125,30.19928932189941,22.597143173217773
2015-03-31,27.61878967285156,34.75069046020508,18.604999542236328,44.65876007080078,73.76917266845703,52.71931457519531,59.37371063232422,60.50529479980469,28.51599884033203,22.277841567993164
2015-04-30,27.77859306335449,41.570919036865234,21.089000701904297,46.94438171386719,72.74256896972656,54.189266204833984,58.07632827758789,66.2284927368164,28.52303695678711,21.14023780822754
2015-05-31,29.03805923461914,40.30988693237305,21.46150016784668,48.81443405151367,73.96734619140625,53.280399322509766,57.258262634277344,65.0393295288086,28.804319381713867,20.243370056152344
2015-06-30,27.957046508789062,37.97869110107422,21.704500198364254,50.28377532958984,71.9877700805664,52.02970504760742,57.14868927001953,64.65817260742188,27.815336227416992,19.333009719848636
2015-07-31,27.03650665283203,40.1722412109375,26.8075008392334,51.18757247924805,74.01904296875,49.53453826904297,56.48258590698242,60.49300003051758,29.127037048339844,19.61920166015625
2015-08-31,25.246789932250977,37.68361282348633,25.644500732421875,47.87863540649414,69.9483642578125,47.492095947265625,52.04204559326172,58.80816268920898,27.87913703918457,17.763574600219727
2015-09-30,24.69600296020508,38.32437515258789,25.59449958801269,45.54073333740234,69.4794692993164,46.93034362792969,52.97729110717773,50.28389739990234,28.692813873291016,17.793766021728516
2015-10-31,26.7558708190918,45.5805549621582,31.295000076293945,48.336952209472656,75.19559478759766,52.22616195678711,56.7524642944336,56.7814826965332,30.287660598754883,15.708130836486816
2015-11-30,26.600566864013672,47.378448486328125,33.2400016784668,50.16510009765625,75.90736389160156,51.993797302246094,55.608192443847656,56.51701736450195,30.714506149291992,16.147207260131836
2015-12-31,23.668434143066406,48.36349868774414,33.79449844360352,49.67609024047852,77.01705932617188,49.631614685058594,59.003849029541016,52.86847305297852,30.95953369140625,16.963199615478516
