delta,eta_0,eta_0_01,eta_0_02,eta_0_03,eta_0_04,eta_0_05,eta_0_1,eta_0_15,eta_0_3,eta_0_5,eta_1
0.5,4.73364470665821,4.13530655951723,4.24245698388016,3.94474937598081,4.07945858733649,4.07738574050017,4.22870705702147,3.61494413329155,0.00691044432427504,0.00362354800390686,0.00256113979947064
0.6,4.73062818989831,4.13508379873916,4.24232320525865,3.94335116437064,4.08039968665564,4.0811525932952,4.23047410603683,3.61331367103817,0.00622402014418644,0.00254720383071532,0.00285202360789361
0.7,4.72955253670457,4.13514184991717,4.24225832088825,3.94334441352163,4.08075596025543,4.08226161459463,4.22830056236165,3.61494166645313,0.00472907980588805,0.00188616240650225,0.00151244371073143
0.75,4.72871680360757,4.13409980259005,4.24207335817564,3.94345734047684,4.08197658336429,4.08473763572658,4.23082801942155,3.61513401793936,0.00345241246118043,0.00167933278874418,0.00146947295011921
0.8,4.72856417050036,4.135228792255,4.24194330067078,3.94349424026024,4.08019275510106,4.08326303097126,4.22768158112239,3.61235567988458,0.00374295991511275,0.00122103156880089,0.00128051109349142
0.9,4.70405748369663,4.13020041727341,4.26458996513184,3.95170783299864,4.12315906917374,4.08250077652401,4.23157738654128,3.61270373264103,0.00247025246167658,0.00074396388642135,0.000473167393381881
