delta,eta_0,eta_0_01,eta_0_02,eta_0_03,eta_0_04,eta_0_05,eta_0_1,eta_0_15,eta_0_3,eta_0_5,eta_1
0.5,0.00241165965245325,0.00233629379262469,0.00231816275764843,0.00225909534171754,0.00223190536422037,0.0022113143280755,0.0015799551848334,0.00128670452275323,3.87960061229695e-07,3.88377121487016e-07,3.88487681563124e-07
0.6,0.00241161928170225,0.0023363159430191,0.00231794592706554,0.00225895050660519,0.00223185308641175,0.00221167284426543,0.0015803858227792,0.00128681723970285,3.88213036574336e-07,3.88396710460663e-07,3.8849581135346e-07
0.7,0.0024116087873597,0.00233593539105144,0.00231802354903676,0.00225920751849191,0.00223206560915486,0.0022117749942499,0.00158000812973883,0.00128638069576417,3.88319012400269e-07,3.88385907774909e-07,3.88538327656789e-07
0.75,0.00241153527292975,0.00233600908839342,0.00231823692356266,0.00225902904550692,0.0022320478368312,0.00221190119317924,0.00158018873755867,0.0012865278005387,3.88307365651533e-07,3.88458364102217e-07,3.88522555030723e-07
0.8,0.00241142521868437,0.00233619001117196,0.00231812397108292,0.00225899618912629,0.00223195971594782,0.00221180255281671,0.00158010092714138,0.00128678997390423,3.88344437043388e-07,3.88427810256939e-07,3.88486762087069e-07
0.9,0.00241131035786455,0.00233597472045869,0.00231885476792598,0.00225921615463536,0.00223236421106263,0.00221210645718414,0.00157976724858823,0.00128664767012417,3.8826443362007e-07,3.88449830952078e-07,3.88522723484434e-07
