delta,eta_0,eta_0_01,eta_0_02,eta_0_03,eta_0_04,eta_0_05,eta_0_1,eta_0_15,eta_0_3,eta_0_5,eta_1
0.5,0.0950422343927115,0.0950421505789472,0.0964875196063911,0.0947162547756912,0.0959522097886211,0.0984730502801429,0.0937874641271811,0.0829122297497455,-5.40414588134919e-06,-5.53954268700529e-06,-4.81198045465536e-06
0.6,0.0950417068056835,0.0950420480673704,0.0964826200076798,0.0947000356353556,0.0959328392554118,0.0985104364548892,0.0938426027317698,0.0829218992202374,-5.70799822574575e-06,-5.78097848114023e-06,-4.88085876559907e-06
0.7,0.0950417904918304,0.0950421446078245,0.0964855391868288,0.094745436937231,0.0959677380294551,0.098519406398044,0.0937910563489376,0.08291708513331,-6.2829452246449e-06,-5.89597531719388e-06,-4.18629074749877e-06
0.75,0.0950417878580249,0.0950419982242101,0.0964846259465607,0.0947133195798779,0.0959665150391169,0.098530455715803,0.0938488366122525,0.0829297726220979,-6.83440005899705e-06,-4.97811338406873e-06,-4.39048570033407e-06
0.8,0.0950418713346121,0.0950418506611982,0.0964893188058485,0.0947103845785865,0.0959533733950443,0.0985309707346844,0.0938103122541183,0.0829278820325481,-6.32900910146894e-06,-5.0102120148221e-06,-4.20103508969039e-06
0.9,0.095041774909379,0.0950419486630267,0.0964813183108504,0.094705613007308,0.0959660249941909,0.0985485648406103,0.0938385134914236,0.0829269627684221,-4.63697524777373e-06,-5.22858034845974e-06,-4.47183104235194e-06
