delta,eta_0,eta_0_01,eta_0_02,eta_0_03,eta_0_04,eta_0_05,eta_0_1,eta_0_15,eta_0_3,eta_0_5,eta_1
0.5,0.00296508740739984,0.00286296727489049,0.00277755787245623,0.00266334174071968,0.0025845508796886,0.00241644644783208,0.00183841984801136,0.00133601041155871,1.31491047298985e-05,2.61670668873698e-06,2.61755244556711e-06
0.6,0.00296509262607054,0.0028627641338225,0.00277772895016361,0.0026633040715319,0.00258471109649119,0.00241661176679928,0.00183838742054945,0.00133595124120507,1.30950884640722e-05,2.61678042835137e-06,2.61764295338312e-06
0.7,0.00296523628062395,0.00286212172002395,0.00277775263026575,0.00266337491542816,0.00258491748891537,0.00241636884621227,0.00183838858042382,0.00133570105884465,1.30686059532999e-05,2.6171143972765e-06,2.61767885056648e-06
0.75,0.00296529498396897,0.00286220641909814,0.0027776878760488,0.00266331156302913,0.00258473435687945,0.00241647983846685,0.00183866177971136,0.00133572017949249,1.30626193753363e-05,2.61725690135253e-06,2.61775718337496e-06
0.8,0.00296531369254021,0.00286233218687834,0.00277773414223447,0.00266328610719221,0.00258468920085497,0.00241641238485526,0.00183862636944536,0.00133579424099328,1.30580148282512e-05,2.61719734643416e-06,2.61782091018655e-06
0.9,0.00278416985319946,0.00274172868520732,0.00268036988319955,0.00261741385770003,0.00255857019712762,0.00243731187727942,0.0018386095951506,0.00133580073613086,1.30016738366761e-05,2.61746820495027e-06,2.61780411727526e-06
