delta,eta_0,eta_0_01,eta_0_02,eta_0_03,eta_0_04,eta_0_05,eta_0_1,eta_0_15,eta_0_3,eta_0_5,eta_1
0.5,0.100130000500702,0.0971562316238495,0.0962139186256783,0.095095023572972,0.0947956116294387,0.0915975528480269,0.0784826405784194,0.0732746072499353,0.0053379508980918,-9.59907044482757e-06,-8.65689920570567e-06
0.6,0.100130065778704,0.0971641155111826,0.0962125220916039,0.0950896920518443,0.0947900864321827,0.0916072938847549,0.0784911404521231,0.0732735566772105,0.00530158227256069,-9.50288657208809e-06,-8.62792960276693e-06
0.7,0.100130252117622,0.0971544380054676,0.0962140136379179,0.0951020908392747,0.0948016224836396,0.0916044373321014,0.0784733475445669,0.0732769901830821,0.00532116011072768,-9.28738812680915e-06,-8.4432645666472e-06
0.75,0.100130032126308,0.0971482614311932,0.0962145628396497,0.0950929103471936,0.0948000289603776,0.0916103981052012,0.0784916841171287,0.0732770229508396,0.00530333404828726,-9.01664047654143e-06,-8.48908286243955e-06
0.8,0.100130008591157,0.0971487164343942,0.0962136819823816,0.0950921474363145,0.0947969441205263,0.0916084264211278,0.0784840086950158,0.0732768536335101,0.00523791216387144,-9.07201103946978e-06,-8.4276436455826e-06
0.9,0.0969395832460856,0.0952994248603939,0.0954891952530067,0.094562992369272,0.093980882176389,0.0914445440769201,0.0784900457450338,0.07327704795099,0.00521136994218833,-8.98774557524438e-06,-8.47391361943498e-06
