delta,eta_0,eta_0_01,eta_0_02,eta_0_03,eta_0_04,eta_0_05,eta_0_1,eta_0_15,eta_0_3,eta_0_5,eta_1
0.5,132,132,132,132,132,132,132,132,132,132,124
0.6,132,132,132,132,132,132,132,132,132,130,132
0.7,132,132,132,132,132,132,132,132,132,131,124
0.75,132,132,132,132,132,132,132,132,132,132,128
0.8,132,132,132,132,132,132,132,132,132,132,131
0.9,132,132,132,132,132,132,132,132,132,131,132
