delta,eta_0,eta_0_01,eta_0_02,eta_0_03,eta_0_04,eta_0_05,eta_0_1,eta_0_15,eta_0_3,eta_0_5,eta_1
0.5,13.455121814912,12.0552318506347,11.3399540106034,10.9733140581568,11.2341414483737,11.5991758432386,10.5978922780638,8.64567718322746,0.821368560701678,0.0104421034353957,0.00789197335497441
0.6,13.4556171655467,12.0616921729435,11.335942844299,10.9703618836917,11.2389685511935,11.6027702088982,10.5909401520392,8.64236927771251,0.815087086378955,0.00745215761003135,0.00709463623109401
0.7,13.456916631558,12.0626627495539,11.3425670358659,10.9718399449943,11.2401360991697,11.6089323048431,10.5894397593334,8.64312228579981,0.816206241299109,0.00529466895625786,0.00424352098536001
0.75,13.4545951970579,12.0587809931135,11.3383590003649,10.9712024048741,11.2397866074277,11.6115866952875,10.5907491018296,8.64213970270281,0.809407046239381,0.00441766934099599,0.00376822863295402
0.8,13.4560494876053,12.059179383305,11.3408769242471,10.9705483024221,11.2374589459093,11.6108557639173,10.5869447933085,8.63991187509276,0.796699768348209,0.00351318899981522,0.00312710951287183
0.9,12.3028503050734,10.7211709952827,11.0176797007562,10.67778513477,11.4630964312486,11.2228316337132,10.5885876674584,8.63566975208184,0.788640542714245,0.00195902626315791,0.00130820288829354
