delta;eta;es_baseline;riqueza_final;log_crecimiento_medio;CAGR;varianza_mensual;max_drawdown;peor_mes;percentil5_mensual;VaR_perdida;CVaR_perdida;turnover_total;costo_total;costo_medio;peso_max_promedio;peso_max_pico;Neff_promedio;violaciones_delta;min_factor_crecimiento;fraccion_factible;fallos_solver;n_meses;CAGR_diff_vs_baseline;MDD_diff_vs_baseline
0.5;0;1;8.63231467751456;0.0163296415307153;0.216473012401529;0.00296508740739984;0.264004795908193;-0.121318863046652;-0.080478236603391;0.0804782366033909;0.100130000500702;13.455121814912;0.0577900758025561;0.000437803604564819;0.250025047608628;0.250249998760772;4.24152291381439;0;0.878681136953348;1;0;132;0;0
0.5;0.01;0;8.62875032903893;0.0163265127967304;0.216427341013429;0.00286296727489049;0.27037739191129;-0.111083831537471;-0.0804778811981697;0.0804778811981696;0.0971562316238495;12.0552318506347;0.0505661499707344;0.000383076893717685;0.250022796367072;0.250249999925491;4.36947211321068;0;0.888916168462529;1;0;132;-4.5671388100077e-05;0.0063725960030967
0.5;0.02;0;8.78733119151106;0.016464477627897;0.218442899322775;0.00277755787245623;0.269312945631234;-0.110553584103282;-0.0830788316198323;0.0830788316198322;0.0962139186256783;11.3399540106034;0.0452149284429977;0.000342537336689377;0.249905715986559;0.25024999980866;4.43162550716336;0;0.889446415896718;1;0;132;0.00196988692124678;0.0053081497230405
0.5;0.03;0;8.06857324601616;0.015818005071057;0.209027189772752;0.00266334174071968;0.276447363997571;-0.11102085478687;-0.0817471562361345;0.0817471562361344;0.095095023572972;10.9733140581568;0.0426897235957379;0.000323406996937408;0.249618815091825;0.250249993032823;4.54225370722408;0;0.88897914521313;1;0;132;-0.0074458226287768;0.0124425680893775
0.5;0.04;0;7.34629010490214;0.0151075411982153;0.198763362736211;0.0025845508796886;0.279056168797176;-0.111074934346941;-0.0808967482224395;0.0808967482224393;0.0947956116294387;11.2341414483737;0.0384775006217599;0.000291496216831514;0.249309542979603;0.250249996396242;4.61170313094098;0;0.888925065653059;1;0;132;-0.0177096496653173;0.0150513728889824
0.5;0.05;0;7.04625113322868;0.0147916342518245;0.194227593373982;0.00241644644783208;0.281071262871994;-0.108803222971431;-0.0791344216690331;0.079134421669033;0.0915975528480269;11.5991758432386;0.0368480510932533;0.000279151902221616;0.248725802888003;0.250249999595029;4.81109675058414;0;0.891196777028569;1;0;132;-0.0222454190275465;0.0170664669638012
0.5;0.1;0;5.80743710718364;0.0133268133031707;0.173419058668271;0.00183841984801136;0.239848293387218;-0.10366939754697;-0.062993133478722;0.0629931334787219;0.0784826405784194;10.5978922780638;0.0287316671934476;0.000217664145404906;0.248199637906747;0.275550459242512;5.77724163884056;0;0.89633060245303;1;0;132;-0.0430539537332573;-0.0241565025209752
0.5;0.15;0;3.49385389937303;0.00947731360696177;0.120447056532998;0.00133601041155871;0.220968150092755;-0.0961863361226497;-0.0607899130760107;0.0607899130760107;0.0732746072499353;8.64567718322746;0.0181532486177512;0.00013752461074054;0.240430428717044;0.314854178195997;6.62435360614866;0;0.90381366387735;1;0;132;-0.096025955868531;-0.0430366458154382
0.5;0.3;0;1.26153377417779;0.00176006258917376;0.021345372738486;1.31491047298985e-05;0.0190838750369653;-0.0190838750369653;2.10404326590475e-06;-2.10404326590481e-06;0.0053379508980918;0.821368560701678;0.000876333059414391;6.63888681374538e-06;0.305826194923556;0.493329431051996;5.46005411148093;0;0.980916124963035;1;0;132;-0.195127639663043;-0.244920920871228
0.5;0.5;0;1.24468463448778;0.0016581984257354;0.0200976735651315;2.61670668873698e-06;0;3.70463396537346e-06;1.62625360576429e-05;-1.6262536057643e-05;-9.59907044482757e-06;0.0104421034353957;1.11263300687292e-05;8.42903793085545e-08;0.347618634780377;0.584193496281247;4.63494615520435;0;1.00000370463397;1;0;132;-0.196375338836397;-0.264004795908193
0.5;1;0;1.24461156564796;0.00165775368009452;0.0200922293717363;2.61755244556711e-06;0;1.29128139469969e-06;1.66648382949219e-05;-1.66648382949219e-05;-8.65689920570567e-06;0.00789197335497441;8.45125264597798e-06;6.40246412574089e-08;0.373228915802093;0.603863644245024;4.26550458467513;0;1.00000129128139;1;0;132;-0.196380783029792;-0.264004795908193
0.6;0;1;8.63228573661418;0.0163296161320104;0.216472641639517;0.00296509262607054;0.26399426260409;-0.12132039360975;-0.0804772580927379;0.0804772580927378;0.100130065778704;13.4556171655467;0.0578136961299943;0.000437982546439351;0.250025183927103;0.250249999606351;4.2413883049552;0;0.87867960639025;1;0;132;0;0
0.6;0.01;0;8.62382970321899;0.0163221914176353;0.216364262924763;0.0028627641338225;0.270442819777765;-0.111076054406606;-0.0804776650329113;0.0804776650329112;0.0971641155111826;12.0616921729435;0.0505820746113529;0.000383197534934492;0.250022808030679;0.250249999070544;4.36945816414395;0;0.888923945593394;1;0;132;-0.000108378714753554;0.00644855717367454
0.6;0.02;0;8.7835634236672;0.0164612286531749;0.218395395966643;0.00277772895016361;0.269282081486911;-0.110555743906329;-0.0830706949760731;0.083070694976073;0.0962125220916039;11.335942844299;0.0451801918196714;0.000342274180452056;0.249902563952215;0.250249999851267;4.43196970207936;0;0.889444256093671;1;0;132;0.00192275432712585;0.00528781888282115
0.6;0.03;0;8.06753327469973;0.0158170285566073;0.209013022265509;0.0026633040715319;0.276421900204489;-0.111018510750598;-0.0817178014026965;0.0817178014026964;0.0950896920518443;10.9703618836917;0.0426748604692928;0.000323294397494642;0.249623585864057;0.25024999941096;4.5421452473077;0;0.888981489249402;1;0;132;-0.00745961937400752;0.0124276376003988
0.6;0.04;0;7.34705593400179;0.015108330907461;0.19877472288417;0.00258471109649119;0.279055940258859;-0.111074948713402;-0.0808989272239227;0.0808989272239225;0.0947900864321827;11.2389685511935;0.0385000354251583;0.000291666935039078;0.249311347512114;0.250249993143434;4.61139477307972;0;0.888925051286598;1;0;132;-0.0176979187553468;0.0150616776547691
0.6;0.05;0;7.04300948184083;0.0147881481972808;0.194177636708561;0.00241661176679928;0.281105072792304;-0.108803224109946;-0.0791386518136344;0.0791386518136343;0.0916072938847549;11.6027702088982;0.0368464936883834;0.000279140103699874;0.248731964714342;0.250249999384132;4.81116943187606;0;0.891196775890054;1;0;132;-0.0222950049309556;0.0171108101882135
0.6;0.1;0;5.80536271950383;0.0133241067968015;0.173380948893269;0.00183838742054945;0.239924004569539;-0.103615256371239;-0.0629966410415682;0.0629966410415682;0.0784911404521231;10.5909401520392;0.0286996171855183;0.000217421342314532;0.248192378863858;0.275633186482777;5.77719612589046;0;0.896384743628761;1;0;132;-0.0430916927462481;-0.0240702580345512
0.6;0.15;0;3.49195696321385;0.0094731993447481;0.12039174014268;0.00133595124120507;0.220947170905517;-0.0962041629272163;-0.0607883035220882;0.0607883035220882;0.0732735566772105;8.64236927771251;0.0181444774922979;0.000137458162820438;0.240438543473675;0.294365463498141;6.61843220441877;0;0.903795837072784;1;0;132;-0.0960809014968365;-0.0430470916985735
0.6;0.3;0;1.26194146334373;0.00176251044700759;0.0213753744783842;1.30950884640722e-05;0.0191579062421517;-0.0191579062421517;2.82822453609999e-06;-2.82822453610005e-06;0.00530158227256069;0.815087086378955;0.000869838972890411;6.58968918856372e-06;0.308704519504039;0.493254828526846;5.4339182331973;0;0.980842093757848;1;0;132;-0.195097267161133;-0.244836356361938
0.6;0.5;0;1.24468112044603;0.00165817703753373;0.0200974117485078;2.61678042835137e-06;0;3.46796679995265e-06;1.66648760473231e-05;-1.66648760473231e-05;-9.50288657208809e-06;0.00745215761003135;7.9635574632317e-06;6.03299807820584e-08;0.347077769649771;0.540123780679249;4.63248170394566;0;1.0000034679668;1;0;132;-0.196375229891009;-0.26399426260409
0.6;1;0;1.24460768787883;0.00165773007667841;0.0200919404398407;2.61764295338312e-06;0;1.50699582102121e-06;1.66131097947053e-05;-1.66131097947053e-05;-8.62792960276693e-06;0.00709463623109401;7.53999477481604e-06;5.71211725364851e-08;0.364732569893093;0.637239162973273;4.41058638368005;0;1.00000150699582;1;0;132;-0.196380701199676;-0.26399426260409
0.7;0;1;8.63188597102471;0.0163292652866591;0.216467520125043;0.00296523628062395;0.264044410103618;-0.121320558211525;-0.0804773654047552;0.0804773654047551;0.100130252117622;13.456916631558;0.0578260388254133;0.000438076051707677;0.250025303718958;0.250249999149182;4.24093985142335;0;0.878679441788475;1;0;132;0;0
0.7;0.01;0;8.62332663884455;0.0163217494788402;0.216357812239186;0.00286212172002395;0.270398022884328;-0.111072335765101;-0.0804778745366037;0.0804778745366036;0.0971544380054676;12.0626627495539;0.050586835381183;0.000383233601372599;0.250022822161126;0.250249999202148;4.36946255705128;0;0.888927664234899;1;0;132;-0.000109707885856958;0.00635361278070989
0.7;0.02;0;8.7841896847147;0.0164617687793764;0.21840329303956;0.00277775263026575;0.269314168055007;-0.110551834741188;-0.0830759089596867;0.0830759089596865;0.0962140136379179;11.3425670358659;0.0452212741352234;0.000342585410115329;0.249905726614966;0.250249999399118;4.43168895432904;0;0.889448165258812;1;0;132;0.00193577291451685;0.00526975795138862
0.7;0.03;0;8.0670501880246;0.0158165749040481;0.209006440621204;0.00266337491542816;0.276418673487135;-0.11101840800452;-0.0817995221827053;0.0817995221827052;0.0951020908392747;10.9718399449943;0.0426866088499745;0.000323383400378595;0.249627384503082;0.250249993929127;4.54224613390029;0;0.88898159199548;1;0;132;-0.00746107950383901;0.0123742633835168
0.7;0.04;0;7.3463218498446;0.0151075739346666;0.198763833655406;0.00258491748891537;0.27905378305704;-0.111074966354753;-0.0809068580709552;0.080906858070955;0.0948016224836396;11.2401360991697;0.0384998709581989;0.000291665689077264;0.249315099507539;0.250249998427676;4.61153708284098;0;0.888925033645247;1;0;132;-0.0177036864696372;0.0150093729534218
0.7;0.05;0;7.04273691166167;0.0147878550036448;0.194173435212553;0.00241636884621227;0.281034669091833;-0.108803392530935;-0.0791456435154133;0.0791456435154132;0.0916044373321014;11.6089323048431;0.0368525445145267;0.000279185943291869;0.248735707573206;0.250249999399849;4.81113063736943;0;0.891196607469065;1;0;132;-0.0222940849124897;0.0169902589882149
0.7;0.1;0;5.80727125098071;0.0133265969419247;0.173416012083311;0.00183838858042382;0.239844667485343;-0.103628140485558;-0.0629845051954267;0.0629845051954267;0.0784733475445669;10.5894397593334;0.0287085480071167;0.000217489000053914;0.248195815896474;0.275791241458674;5.7780145001813;0;0.896371859514442;1;0;132;-0.0430515080417315;-0.0241997426182753
0.7;0.15;0;3.48933522961492;0.00946750938977737;0.12031524301169;0.00133570105884465;0.220866425767163;-0.0962001515820602;-0.0607784256985478;0.0607784256985478;0.0732769901830821;8.64312228579981;0.0181363699248602;0.000137396741855002;0.240638994930017;0.294304628229585;6.61315693190995;0;0.90379984841794;1;0;132;-0.0961522771133534;-0.0431779843364554
0.7;0.3;0;1.26075907350674;0.00175540893076324;0.0212883384212035;1.30686059532999e-05;0.0191508056229193;-0.0191508056229193;3.9906157868197e-06;-3.99061578681974e-06;0.00532116011072768;0.816206241299109;0.000870528919263133;6.59491605502374e-06;0.309510570243202;0.493165887115316;5.39920892954231;0;0.980849194377081;1;0;132;-0.19517918170384;-0.244893604480699
